Blue Heron Landscaping LLC
Trial Balance
"As of December 31, 2025"
,Debit,Credit
1200 · Accounts Receivable,"125,363.50",
1510 · Accumulated Depreciation,,"32,400.00"
1000 · Checking,"412,764.35",
6800 · Depreciation Expense,"5,400.00",
4200 · Design Income,,"159,885.00"
1500 · Equipment,"54,000.00",
2500 · Equipment Loan,,"6,400.00"
6000 · Fuel,"10,402.64",
6200 · Insurance,"3,060.00",
4000 · Landscaping Income,,"83,920.50"
5000 · Materials & Plants,"38,715.98",
6300 · Office Supplies,450.00,
3100 · Owner Draws,"97,200.00",
3000 · Owner's Equity,,"25,000.00"
6600 · Payroll Expenses,"68,066.18",
3900 · Retained Earnings,,"503,050.65"
4100 · Snow Removal Income,,"8,882.50"
6400 · Software Subscriptions,"1,308.00",
6520 · Utilities:Internet,"1,068.00",
6510 · Utilities:Phone,"1,740.00",
TOTAL,"819,538.65","819,538.65"
